epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,378.067,1.6421,1.38219,0.01467,0.43373,0.41458,0.37768,0.15376,2.13604,3.17966,0.01922,0.0299636,0.00998788,0.0299636,0.00998788,0.0299636,0.00998788,0.0299636,0.00998788
2,722.442,1.88702,1.89028,0.01836,0.52471,0.46849,0.45859,0.20149,2.05199,2.01791,0.01833,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
3,1049.94,1.85734,1.76171,0.01781,0.5582,0.50517,0.5077,0.22498,1.99275,1.92493,0.01746,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
4,1415.63,1.8269,1.68365,0.01737,0.5789,0.51392,0.5275,0.24583,1.96933,1.87285,0.01727,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
5,1781.28,1.80325,1.61256,0.01697,0.59531,0.53698,0.55007,0.26168,1.91204,1.79606,0.01663,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
6,2144.65,1.78946,1.5459,0.01677,0.61479,0.53366,0.56966,0.27716,1.88391,1.75729,0.01608,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
7,2523.05,1.76333,1.50065,0.01632,0.6271,0.55851,0.58792,0.29191,1.85047,1.69468,0.01584,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
8,2892.29,1.7478,1.45178,0.01609,0.6469,0.56607,0.61091,0.31425,1.82404,1.64723,0.01536,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
9,3268.47,1.7267,1.40249,0.01572,0.66076,0.57628,0.6181,0.32074,1.81033,1.61324,0.01507,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
10,3635.76,1.70109,1.36609,0.01539,0.67347,0.58089,0.63213,0.33033,1.80041,1.57517,0.01498,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
11,4006.27,1.67717,1.31562,0.01505,0.67906,0.59357,0.64324,0.33967,1.78104,1.56269,0.01469,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,4375.4,1.66005,1.26404,0.01476,0.69226,0.6012,0.65284,0.34906,1.77578,1.51751,0.01458,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
13,4714.36,1.6309,1.21709,0.01437,0.70084,0.60599,0.66149,0.35443,1.76691,1.50573,0.01456,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
14,5047.28,1.60209,1.1743,0.01396,0.70968,0.6109,0.66872,0.36097,1.7581,1.48097,0.01439,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
15,5421.61,1.57583,1.13787,0.01367,0.71589,0.61308,0.67366,0.36489,1.75845,1.46931,0.01434,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
16,5788.78,1.55529,1.09422,0.01337,0.71067,0.62404,0.67741,0.36787,1.75342,1.46462,0.01432,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
